K02;K02 ~ Камера распределения TS1-M02 | K02 ~ Камеры распределения TN2-M02 | K02 ~ Камеры распределения TW1-M02
K02A;K02A ~ Камеры распределения TN2-M02A
K03;K03 ~ Камеры распределения TN2-M03 | K03 - Камера распределения MY2-M03
K03D;K03D ~ Камеры распределения TW-M03D
K04;K04 ~ Камеры распределения TN2-M04 | K04 - Камера распределения MY2-M04
K04A;K04A ~ Камеры распределения TN2-M04A | K04A - Камера распределения MY2-M04A
K05;K05 ~ Камеры распределения TN2-M05 | K05 - Камера распределения MY2-M05
K05A;K05A ~ Камеры распределения TN2-M05A | K05A - Камера распределения MY2-M05A
K06;K06 - Камера распределения MY2-M06
K06A;K06A - Камера распределения MY2-M06A
K06B;K06B - Камера распределения MY2-M06B
K1;K1 ~ Металлические опоры под трубу Ду-159, 108 и 57 | K1 ~ Метал опоры для кислотопровода под трубы | K1 ~ Металлические опоры под трубу Ду-159, Ду-108 и Ду-57
KC-0;0 ~ Генеральный план
KC-3.1;3.1 ~ Общежитие для рядового состава на 100 человек
KC-3А;3А ~ Общежитие для рядового состава на 100 человек (2 очередь)
KC-3А.1;3А.1 ~ Общежитие для рядового состава на 100 человек (2 очередь)
KD.038;KD.038~Проектная документация
KR02;KR02 ~ Камера регулирования TW1-RO2
KU19;KU19 ~ Камера распределения KU-19
M01;M01 ~ Камера распределения MY3-M01 | M01 ~ Камера распределения TS2-M01
M01A;M01A ~ Камера распределения TS1-M01A | M01A ~ Камера распределения MY3-M01A
M02;M02 ~ Камера распределения MY3-M02 | M02 ~ Камера распределения TS2-M02
M02A;M02A ~ Камера распределения MY3-M02A
M03;M03 ~ Камера распределения TS2-M03
M04;M04 ~ Камера распределения TS2-M04
M04A;M04A ~ Камера распределения TS2-M04A
M04B;M04B ~ Камера распределения TS2-M04B
M05;M05 ~ Камера распределения TS2-M05
M05A;M05A ~ Камера распределения TS2-M05A
M06;M06 ~ Камера распределения TS2-M06
M06A;M06A ~ Камера распределения TS2-M06A
M07;M07 ~ Камера распределения TS2-M07
M09;M09 ~ Камера распределения MY4-M09
M09A;M09A ~ Камера распределения MY3-M09A
M09B;M09B ~ Камера распределения MY4-M09B
R01;R01 ~ Камера регулирования TN2-R01 | R01 ~ Камера регулирования TW1-R01
RFM-240.;RFM~240.KD.038. Реконструкция ангара и технолог.лиинй для производства бурового раствора на участке №1 Южный мест.Моинкум (кооректировка)
S;S ~ Депульсаторы TN2-S01 по S09 | S ~ Депульсаторы MY2 | S ~ Опоры под депульсаторы
S00;S00 ~ Блок уравнительных резервуаров
S45;S45 ~ Депульсатор TS2-S45
S59;S59 ~ Депульсатор MY4-S59
А;А ~ Участок №1.
А-2-99;А-2-99 ~ Участок №1. Станция мойки фильтров.
А-2-99.1;А-2-99.1 ~ Участок №1. Комплектная насосная станция.
А-2-99.2;А-2-99.2 ~ Участок №1. Выгреб.
Б;Б ~ Участок №2.
Б-2-99;Б-2-99 ~ Участок №2. Станция мойки фильтров.
Б-2-99.1;Б-2-99.1 ~ Участок №2. Выгреб.
В1;В1 ~ Камера воздушного клапана TW1-B01
Д01А;Д01А ~ Камера сливного клапана TW1-Д01А
К01;К01 ~ Камера распределения TW1-MO1
К01С;К01С ~ Камера распределения TW-M01C
К03;К03 ~ Камеры распределения TW1-M03
